player,country_or_team,level,competition_or_series,date,date_type,source_url,notes,collection
Tom Kohler-Cadmore,England / Yorkshire,domestic,Vitality Blast 2020,2020-09-16,announcement,https://www.espn.com/cricket/story/_/id/29898244/yorkshire-player-positive-covid-19-test-rules-three-team-mates-blast-group-games,Isolating after contact with David Willey on 12 Sep; no positive reported,2020
Josh Poysden,England / Yorkshire,domestic,Vitality Blast 2020,2020-09-16,announcement,https://www.espn.com/cricket/story/_/id/29898244/yorkshire-player-positive-covid-19-test-rules-three-team-mates-blast-group-games,Same as Kohler-Cadmore,2020
Matthew Fisher,England / Yorkshire,domestic,Vitality Blast 2020,2020-09-16,announcement,https://www.espn.com/cricket/story/_/id/29898244/yorkshire-player-positive-covid-19-test-rules-three-team-mates-blast-group-games,Same as Kohler-Cadmore,2020
Chris Woakes,England,international,England tour of Sri Lanka 2021,2021-01-03,announcement,https://www.espncricinfo.com/story/sri-lanka-vs-england-moeen-ali-tests-positive-for-covid-19-as-england-arrive-in-sri-lanka-1246276,Close contact of Moeen Ali (they shared a minibus to the airport). Isolated for 7 days from Jan 3 and stayed negative (ESPN Jan 12). Missed the first Test.,2021H1
Sean Williams,Zimbabwe,international,Bangladesh tour of Zimbabwe 2021 (Test),2021-07-06,announcement,https://www.espn.com/cricket/story/_/id/31768865/zim-vs-ban-2021-sean-williams-craig-ervine-self-isolation-miss-one-bangladesh-test,Self-isolated after contact with family members who tested positive. No positive result of his own reported.,2021H2
Craig Ervine,Zimbabwe,international,Bangladesh tour of Zimbabwe 2021 (Test),2021-07-06,announcement,https://www.espn.com/cricket/story/_/id/31768865/zim-vs-ban-2021-sean-williams-craig-ervine-self-isolation-miss-one-bangladesh-test,As for Williams.,2021H2
Nathan Gilchrist,Kent,domestic,County Championship 2021,2021-07-12,announcement,https://www.thecricketer.com/Topics/countycricket/covid_chaos_continues_kent_nathan_gilchrist_self_isolation.html,"Told to self-isolate by NHS Test and Trace; negative lateral flow test, no symptoms. Club said this was unrelated to Kent's positive case.",2021H2
Wriddhiman Saha,India,international,India tour of England 2021,2021-07-15,announcement,https://www.espncricinfo.com/story/india-in-england-covid-19-after-rishabh-pant-four-india-squad-members-forced-to-quarantine-in-london-1269799,Close contact of net bowler/training assistant Dayanand Garani (staff; positive 14 Jul). Cleared fresh tests.,2021H2
Abhimanyu Easwaran,India,international,India tour of England 2021,2021-07-15,announcement,https://www.espncricinfo.com/story/india-in-england-covid-19-after-rishabh-pant-four-india-squad-members-forced-to-quarantine-in-london-1269799,As for Saha.,2021H2
Steven Mullaney,Trent Rockets,franchise,The Hundred 2021 (men),2021-07-26,announcement,https://www.espncricinfo.com/story/men-s-hundred-andy-flower-tests-positive-for-covid-19-misses-trent-rockets-fixture-1271092,Close contact of head coach Andy Flower (staff).,2021H2
Prithvi Shaw,India,international,India tour of Sri Lanka 2021 (T20Is),2021-07-28,announcement,https://africa.espn.com/cricket/story/_/id/31904876/sl-vs-ind-2021-2nd-t20i-prithvi-shaw-suryakumar-yadav-hardik-pandya-chahal-india-players-isolation,Close contact of Krunal Pandya (identified 27 Jul; names out 28 Jul). Negative tests.,2021H2
Suryakumar Yadav,India,international,India tour of Sri Lanka 2021 (T20Is),2021-07-28,announcement,https://africa.espn.com/cricket/story/_/id/31904876/sl-vs-ind-2021-2nd-t20i-prithvi-shaw-suryakumar-yadav-hardik-pandya-chahal-india-players-isolation,As for Shaw.,2021H2
Manish Pandey,India,international,India tour of Sri Lanka 2021 (T20Is),2021-07-28,announcement,https://africa.espn.com/cricket/story/_/id/31904876/sl-vs-ind-2021-2nd-t20i-prithvi-shaw-suryakumar-yadav-hardik-pandya-chahal-india-players-isolation,As for Shaw.,2021H2
Hardik Pandya,India,international,India tour of Sri Lanka 2021 (T20Is),2021-07-28,announcement,https://africa.espn.com/cricket/story/_/id/31904876/sl-vs-ind-2021-2nd-t20i-prithvi-shaw-suryakumar-yadav-hardik-pandya-chahal-india-players-isolation,As for Shaw.,2021H2
Ishan Kishan,India,international,India tour of Sri Lanka 2021 (T20Is),2021-07-28,announcement,https://africa.espn.com/cricket/story/_/id/31904876/sl-vs-ind-2021-2nd-t20i-prithvi-shaw-suryakumar-yadav-hardik-pandya-chahal-india-players-isolation,As for Shaw.,2021H2
Deepak Chahar,India,international,India tour of Sri Lanka 2021 (T20Is),2021-07-28,announcement,https://africa.espn.com/cricket/story/_/id/31904876/sl-vs-ind-2021-2nd-t20i-prithvi-shaw-suryakumar-yadav-hardik-pandya-chahal-india-players-isolation,As for Shaw. (Chahal and Gowtham were also on this list but later tested positive; they are in infections.),2021H2
Stafanie Taylor,West Indies women,international,South Africa women tour of West Indies 2021,2021-08-31,announcement,https://www.espncricinfo.com/story/wi-vs-sa-women-t20is-2021-stafanie-taylor-out-of-series-anisa-mohammed-interim-west-indies-captain-1275428,Primary contact of a Covid-19 case in Jamaica.,2021H2
Vijay Shankar,Sunrisers Hyderabad,franchise,IPL 2021 (UAE leg),2021-09-22,announcement,https://www.espncricinfo.com/story/ipl-2021-dc-vs-srh-t-natarajan-of-sunrisers-hyderabad-tests-positive-for-covid-19-1279004,Close contact of T Natarajan. Tested negative.,2021H2
G Periyaswamy,Sunrisers Hyderabad,franchise,IPL 2021 (UAE leg),2021-09-22,announcement,https://www.espncricinfo.com/story/ipl-2021-dc-vs-srh-t-natarajan-of-sunrisers-hyderabad-tests-positive-for-covid-19-1279004,Net bowler (The Cricketer calls him Periyasamy Ganesan). Close contact of Natarajan; negative.,2021H2
Pat Cummins,Australia,international,Ashes 2021-22 (2nd Test),2021-12-16,announcement,https://www.espncricinfo.com/story/ashes-2021-22-pat-cummins-out-of-second-test-after-covid-close-contact-1293470,Close contact of a restaurant patron on Wed 15 Dec; negative PCR; isolated 7 days. Starc and Lyon were ruled casual contacts only.,2021H2
Craig Young,Ireland,international,Ireland tour of USA 2021-22,2021-12-17,announcement,https://www.espncricinfo.com/story/four-ireland-players-assistant-coach-test-covid-19-positive-ahead-of-usa-caribbean-tours-1293673,Close contact of a positive case on the eve of departure; barred from travel for 10 days.,2021H2
Sam Whiteman,Sydney Thunder,franchise,BBL 2021-22,2021-12-30,announcement,https://www.espncricinfo.com/story/bbl-2021-22-melbourne-stars-vs-perth-scorchers-postponed-due-to-a-covid-19-case-in-stars-camp-1294826,Earlier in the season missed a game as a 'possible close contact' (date not given). Tested positive himself on 30 Dec (see infections).,2021H2
Marcus Harris,Australia,international,Ashes 2021-22,2021-12-31,announcement,https://www.abc.net.au/news/2021-12-31/travis-head-tests-positive-for-covid/100732904,Stayed in Melbourne 'as a precaution' after dinner with Travis Head. Not formally called a close contact.,2021H2
Andrew Balbirnie,Ireland,international,Ireland tour of USA 2021-22,2022-01-09,announcement,https://www.espncricinfo.com/story/wi-vs-ire-2022-paul-stirling-shane-getkate-to-join-with-ireland-squad-after-testing-negative-for-covid-19-1296177,"Close contact of Stirling/Getkate in late Dec 2021, but only reported on 9 Jan 2022, outside the window. Later tested positive in Jan 2022, also outside the window.",2021H2
